1_0_0_1_0_0_463159_0_0_0               |                                                   |  1_0_0_463159=simayazadiirannationaltv                   |  =--------
1_0_1_266_CC_1_3200000_0_0_0           |  .Red HD                                          |  266_CC_1_3200000=--------                               |  .red hd=redtv
1_0_1_267_20A_73_2080000_0_0_0         |  .Red HD                                          |  267_20A_73_2080000=--------                             |  .red hd=redtv
1_0_1_269_20A_73_2080000_0_0_0         |  .Sci-Fi                                          |  269_20A_73_2080000=--------                             |  .sci-fi=scifi
1_0_1_D6_66_1_3200000_0_0_0            |  .Sci-Fi                                          |  D6_66_1_3200000=--------                                |  .sci-fi=scifi
1_0_1_1A22_10_55_300000_0_0_0          |  /////PRYAMIY                                     |  1A22_10_55_300000=--------                              |  /////pryamiy=--------
1_0_16_1F41_1_10_640000_0_0_0          |  01 BBC One                                       |  1F41_1_10_640000=--------                               |  01 bbc one=bbcone
1_0_16_1F42_1_10_640000_0_0_0          |  02 BBC Two                                       |  1F42_1_10_640000=--------                               |  02 bbc two=bbctwo
1_0_16_1F43_1_10_640000_0_0_0          |  03 ITV                                           |  1F43_1_10_640000=--------                               |  03 itv=itv1
1_0_16_1F49_1_10_640000_0_0_0          |  04 Channel 4                                     |  1F49_1_10_640000=--------                               |  04 channel 4=channel4
1_0_16_1F4A_1_10_640000_0_0_0          |  05 Channel 5                                     |  1F4A_1_10_640000=--------                               |  05 channel 5=channel5
1_0_16_1F44_1_10_640000_0_0_0          |  06 BFBS Extra                                    |  1F44_1_10_640000=--------                               |  06 bfbs extra=bfbsextra
1_0_16_1F51_1_10_640000_0_0_0          |  07 BFBS Extra 2                                  |  1F51_1_10_640000=--------                               |  07 bfbs extra 2=bfbsextra
1_0_16_1F4B_1_10_640000_0_0_0          |  08 BBC One Delay                                 |  1F4B_1_10_640000=--------                               |  08 bbc one delay=bbcone
1_0_16_1F4C_1_10_640000_0_0_0          |  09 BBC Two Delay                                 |  1F4C_1_10_640000=--------                               |  09 bbc two delay=bbctwo
1_0_19_12C3_37_1_1680000_0_0_0         |  1 ARKHI                                          |  12C3_37_1_1680000=--------                              |  1 arkhi=1tv
1_0_C_2135_1_10_640000_0_0_0           |  1 Aldershot                                      |  2135_1_10_640000=--------                               |  1 aldershot=bfbsaldershot
1_0_19_14D2_320_5000_DC00000_0_0_0     |  1 Baghdad                                        |  14D2_320_5000_DC00000=--------                          |  1 baghdad=--------
1_0_1_13_1_FFFF_DCA2A3F_0_0_0          |  1 IRAQ Drama                                     |  13_1_FFFF_DCA2A3F=--------                              |  1 iraq drama=--------
1_0_1_1_0_0_1CC2B57_0_0_0              |  1 TV Georgia                                     |  1_0_0_1CC2B57=--------                                  |  1 tv georgia=1tv
1_0_16_17D4_C_55_300000_0_0_0          |  1+1                                              |  17D4_C_55_300000=--------                               |  1+1=1plus1international
1_0_16_1E5B_C9E_3_EB0000_0_0_0         |  1+1                                              |  1E5B_C9E_3_EB0000=--------                              |  1+1=1plus1international
1_0_16_17ED_C_55_300000_0_0_0          |  1+1 International                                |  17ED_C_55_300000=--------                               |  1+1 international=1plus1international
1_0_16_1E5A_C9E_3_EB0000_0_0_0         |  1+1 International                                |  1E5A_C9E_3_EB0000=--------                              |  1+1 international=1plus1international
1_0_16_17D5_C_55_300000_0_0_0          |  1+1 Ukraine                                      |  17D5_C_55_300000=--------                               |  1+1 ukraine=1plus1ukraina
1_0_1_296_5_85_C00000_0_0_0            |  1-2-3.tv                                         |  296_5_85_C00000=--------                                |  1-2-3.tv=123tv
1_0_19_157E_41F_1_C00000_0_0_0         |  1-2-3.tv HD                                      |  157E_41F_1_C00000=--------                              |  1-2-3.tv hd=123tvhd
1_0_2_1019_C98_3_EB0000_0_0_0          |  1.BuMux                                          |  1019_C98_3_EB0000=--------                              |  1.bumux=--------
1_0_16_1F4D_1_10_640000_0_0_0          |  10 ITV Delay                                     |  1F4D_1_10_640000=--------                               |  10 itv delay=itv1
1_0_2_5253_C99_3_EB0000_0_0_0          |  100% NL                                          |  5253_C99_3_EB0000=--------                              |  100% nl=100procentnl
1_0_1_65_65_FFFF_A031B4_0_0_0          |  101 - IPPICA1                                    |  65_65_FFFF_A031B4=--------                              |  101 - ippica1=ippica1
1_0_1_66_65_FFFF_A031B4_0_0_0          |  102 - IPPICA2                                    |  66_65_FFFF_A031B4=--------                              |  102 - ippica2=ippica2
1_0_1_41A_1_1_A0318A_0_0_0             |  1050 Kielce SuperNova                            |  41A_1_1_A0318A=--------                                 |  1050 kielce supernova=radiosupernova
1_0_1_1F66_80E3_217C_5A0000_0_0_0      |  105TV                                            |  1F66_80E3_217C_5A0000=--------                          |  105tv=--------
1_0_1_42E_1_1_A0318A_0_0_0             |  1070 Krakow SuperNova                            |  42E_1_1_A0318A=--------                                 |  1070 krakow supernova=radiosupernova
1_0_2_3DAE_2C88_13E_820000_0_0_0       |  10796V SID 0x3dae                                |  3DAE_2C88_13E_820000=--------                           |  10796v sid 0x3dae=--------
1_0_1_1_2CEC_13E_820000_0_0_0          |  10815H                                           |  1_2CEC_13E_820000=--------                              |  10815h=--------
1_0_19_1_0_0_82AA52_0_0_0              |  10834V                                           |  1_0_0_82AA52=--------                                   |  10834v=--------
1_0_1_75F4_422_1_C00000_0_0_0          |  10847V SID 0x75f4                                |  75F4_422_1_C00000=--------                              |  10847v sid 0x75f4=--------
1_0_1_1_2DB4_13E_820000_0_0_0          |  10853H                                           |  1_2DB4_13E_820000=--------                              |  10853h=--------
1_0_1_7828_428_1_C00000_0_0_0          |  10936V SID 0x7828                                |  7828_428_1_C00000=--------                              |  10936v sid 0x7828=--------
1_0_2_1770_1_0_1042ACA_0_0_0           |  10954H SID 0x1770                                |  1770_1_0_1042ACA=--------                               |  10954h sid 0x1770=--------
1_0_2_3E8_1_0_1042ACA_0_0_0            |  10954H SID 0x3e8                                 |  3E8_1_0_1042ACA=--------                                |  10954h sid 0x3e8=--------
1_0_2_7D0_1_0_1042ACA_0_0_0            |  10954H SID 0x7d0                                 |  7D0_1_0_1042ACA=--------                                |  10954h sid 0x7d0=--------
1_0_2_BB8_1_0_1042ACA_0_0_0            |  10954H SID 0xbb8                                 |  BB8_1_0_1042ACA=--------                                |  10954h sid 0xbb8=--------
1_0_2_FA0_1_0_1042ACA_0_0_0            |  10954H SID 0xfa0                                 |  FA0_1_0_1042ACA=--------                                |  10954h sid 0xfa0=--------
1_0_2_2_1_0_E082ACE_0_0_0              |  10958H SID 0x02                                  |  2_1_0_E082ACE=--------                                  |  10958h sid 0x02=--------
1_0_16_1F4F_1_10_640000_0_0_0          |  11                                               |  1F4F_1_10_640000=--------                               |  11=canal11hd
1_0_1_179B_2F_36_CE40000_0_0_0         |  11                                               |  179B_2F_36_CE40000=--------                             |  11=canal11hd
1_0_1_44C_1_1_A0318A_0_0_0             |  1100 Lodz SuperNova                              |  44C_1_1_A0318A=--------                                 |  1100 lodz supernova=radiosupernova
1_0_1_7573_412_1_C00000_0_0_0          |  11097V SID 0x7573                                |  7573_412_1_C00000=--------                              |  11097v sid 0x7573=--------
1_0_1_1_0_0_C02B85_0_0_0               |  11141H                                           |  1_0_0_C02B85=--------                                   |  11141h=--------
1_0_1_1_9_85_C00000_0_0_0              |  11171H                                           |  1_9_85_C00000=--------                                  |  11171h=--------
1_0_19_1_16_FFFF_82ABB9_0_0_0          |  11193V                                           |  1_16_FFFF_82ABB9=--------                               |  11193v=--------
1_0_1_460_1_1_A0318A_0_0_0             |  1120 Opole SuperNova                             |  460_1_1_A0318A=--------                                 |  1120 opole supernova=radiosupernova
